,Municipio,Populacao,macro,regional,lat,lon
0,BALNEÁRIO CAMBORIÚ,140036,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-27.00473681198928,-48.62174059290786
1,BALNEÁRIO PIÇARRAS,28177,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-26.75949159508957,-48.73329012672856
2,BOMBINHAS,24416,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-27.17325633187103,-48.51748707787348
3,CAMBORIÚ,112167,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-27.070938703807663,-48.70898929280387
4,ILHOTA,20319,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-26.859040901529745,-48.85735097749987
5,ITAJAÍ,291169,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-26.96901297467498,-48.75341716434316
6,ITAPEMA,76247,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-27.10858334921313,-48.63442695278928
7,LUIZ ALVES,12249,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-26.72735194701673,-48.89108169124951
8,NAVEGANTES,88655,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-26.82874286660231,-48.72739585880501
9,PENHA,33400,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-26.80775980093401,-48.6507645209128
10,PORTO BELO,27726,FOZ DO RIO ITAJAÍ,FOZ DO RIO ITAJAÍ,-27.17479588202193,-48.61643450369326
11,ALFREDO WAGNER,10455,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.70594673424535,-49.3307510700746
12,ANGELINA,5497,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.543005676188848,-49.06722368187546
13,ANITÁPOLIS,3463,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.879775975302707,-49.13875010333535
14,ANTÔNIO CARLOS,11295,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.497474227181968,-48.83098179624291
15,BIGUAÇU,78623,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.433529852830816,-48.69394689806006
16,CANELINHA,12759,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.23460358338924,-48.80230959011115
17,FLORIANÓPOLIS,574200,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.577833913876493,-48.50819805014117
18,GAROPABA,29801,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-28.04673393425685,-48.65893578099145
19,GOVERNADOR CELSO RAMOS,17306,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.37661650148034,-48.57722959006138
20,LEOBERTO LEAL,3334,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.47214025034485,-49.25722235989941
