EXTREMO OESTE,XANXERÊ,OESTE, ALTO URUGUAI CATARINENSE, MEIO OESTE, ALTO VALE DO RIO DO PEIXE, SERRA CATARINENSE, FOZ DO RIO ITAJAÍ, ALTO VALE DO ITAJAÍ, MÉDIO VALE DO ITAJAÍ, GRANDE FLORIANÓPOLIS, LAGUNA,CARBONÍFERA, EXTREMO SUL CATARINENSE, PLANALTO NORTE, NORDESTE, VALE DO ITAPOCU
ANCHIETA ,ABELARDO LUZ,AGUAS DE CHAPECO,ALTO BELA VISTA,ABDON BATISTA,ARROIO TRINTA,ANITA GARIBALDI ,BALNEARIO CAMBORIU,AGROLANDIA,APIUNA ,AGUAS MORNAS ,ARMAZEM ,COCAL DO SUL,ARARANGUA,BELA VISTA DO TOLDO,ARAQUARI,BARRA VELHA
BANDEIRANTE,BOM JESUS,AGUAS FRIAS,ARABUTA,AGUA DOCE ,CACADOR ,BOCAINA DO SUL ,BOMBINHAS ,AGRONOMICA ,ASCURRA ,ALFREDO WAGNER ,BRACO DO NORTE,CRICIUMA,BALNEARIO ARROIO DO SILVA,CAMPO ALEGRE,BALNEARIO BARRA DO SUL,CORUPA
BARRA BONITA,CAMPO ERE,ARVOREDO,CONCORDIA ,BRUNOPOLIS,CALMON,BOM JARDIM DA SERRA,CAMBORIU ,ATALANTA,BENEDITO NOVO ,ANGELINA,CAPIVARI DE BAIXO ,FORQUILHINHA,BALNEARIO GAIVOTA,CANOINHAS,GARUVA,GUARAMIRIM
BELMONTE,CORONEL MARTINS,CAIBI,IPIRA,CAMPOS NOVOS,CURITIBANOS,BOM RETIRO,ILHOTA ,AURORA,BLUMENAU ,ANITAPOLIS ,GRAO PARA ,ICARA,ERMO,IRINEOPOLIS,ITAPOA,JARAGUA DO SUL
BOM JESUS DO OESTE,ENTRE RIOS,CAXAMBU DO SUL,IPUMIRIM,CAPINZAL ,FRAIBURGO ,CAPAO ALTO,ITAJAI ,BRACO DO TROMBUDO ,BOTUVERA,ANTONIO CARLOS,GRAVATAL,LAURO MULLER,JACINTO MACHADO,ITAIOPOLIS,JOINVILLE,MASSARANDUBA
DESCANSO,FAXINAL DOS GUEDES,CHAPECO,IRANI,CATANDUVAS,FREI ROGERIO,CAMPO BELO DO SUL ,ITAPEMA ,CHAPADAO DO LAGEADO,BRUSQUE ,BIGUACU ,IMARUI ,MORRO DA FUMACA,MARACAJA,MAFRA,SAO FRANCISCO DO SUL,SAO JOAO DO ITAPERIU
DIONISIO CERQUEIRA,GALVAO,CORDILHEIRA ALTA,ITA ,CELSO RAMOS,IBIAM,CERRO NEGRO,LUIZ ALVES,DONA EMMA ,DOUTOR PEDRINHO,CANELINHA ,IMBITUBA,NOVA VENEZA,MELEIRO,MAJOR VIEIRA,,SCHROEDER
FLOR DO SERTAO,IPUACU,CORONEL FREITAS,LINDOIA DO SUL ,ERVAL VELHO,IOMERE ,CORREIA PINTO,NAVEGANTES ,IBIRAMA,GASPAR,FLORIANOPOLIS,JAGUARUNA,ORLEANS,MORRO GRANDE,MONTE CASTELO,,
GUARACIABA,JUPIA,CUNHA PORA,PERITIBA ,HERVAL D'OESTE,LEBON REGIS,LAGES,PENHA,IMBUIA,GUABIRUBA,GAROPABA ,LAGUNA ,SIDEROPOLIS,PASSO DE TORRES,PAPANDUVA,,
GUARUJA DO SUL,LAJEADO GRANDE,CUNHATAI,PIRATUBA,IBICARE,MACIEIRA,OTACILIO COSTA,BALNEARIO PICARRAS ,ITUPORANGA,INDAIAL,GOVERNADOR CELSO RAMOS ,PEDRAS GRANDES ,TREVISO,PRAIA GRANDE,PORTO UNIAO,,
IPORA DO OESTE,MAREMA,FORMOSA DO SUL,PRESIDENTE CASTELLO BRANCO ,JABORA,MATOS COSTA,PAINEL,PORTO BELO ,JOSE BOITEUX ,POMERODE,LEOBERTO LEAL ,PESCARIA BRAVA,URUSSANGA,SANTA ROSA DO SUL,RIO NEGRINHO,,
IRACEMINHA,NOVO HORIZONTE,GUATAMBU,SEARA,JOACABA,PINHEIRO PRETO ,PALMEIRA,,LAURENTINO,RIO DOS CEDROS,MAJOR GERCINO ,RIO FORTUNA,BALNEARIO RINCAO,SAO JOAO DO SUL,SAO BENTO DO SUL,,
ITAPIRANGA,OURO VERDE,IRATI,XAVANTINA,LACERDOPOLIS,PONTE ALTA DO NORTE ,PONTE ALTA,,LONTRAS ,RODEIO,NOVA TRENTO ,SANGAO,,SOMBRIO,TRES BARRAS,,
MARAVILHA,PASSOS MAIA,JARDINOPOLIS,,LUZERNA,RIO DAS ANTAS ,RIO RUFINO ,,MIRIM DOCE ,TIMBO ,PALHOCA ,SANTA ROSA DE LIMA,,TIMBE DO SUL,,,
MODELO,PONTE SERRADA,NOVA ERECHIM,,MONTE CARLO,SALTO VELOSO,SAO JOAQUIM,,PETROLANDIA ,,PAULO LOPES ,SAO LUDGERO,,TURVO,,,
MONDAI,SAO BERNARDINO,NOVA ITABERABA,,OURO,SANTA CECILIA,SAO JOSE DO CERRITO,,POUSO REDONDO ,,RANCHO QUEIMADO ,SAO MARTINHO,,,,,
PALMA SOLA,SAO DOMINGOS,PAIAL,,TREZE TILIAS,SAO CRISTOVAO DO SUL ,URUBICI,,PRESIDENTE GETULIO ,,SANTO AMARO DA IMPERATRIZ ,TREZE DE MAIO,,,,,
PARAISO,SAO LOURENCO DO OESTE,PALMITOS,,VARGEM,TANGARA ,URUPEMA ,,PRESIDENTE NEREU ,,SAO BONIFACIO ,TUBARAO,,,,,
PRINCESA,VARGEAO,PINHALZINHO,,VARGEM BONITA,TIMBO GRANDE,,,RIO DO CAMPO ,,SAO JOAO BATISTA,,,,,,
ROMELANDIA,XANXERE,PLANALTO ALEGRE,,ZORTEA,VIDEIRA ,,,RIO DO OESTE,,SAO JOSE,,,,,,
SALTINHO,XAXIM,QUILOMBO,,,,,,RIO DO SUL,,SAO PEDRO DE ALCANTARA ,,,,,,
SANTA HELENA,,RIQUEZA,,,,,,SALETE,,TIJUCAS ,,,,,,
SANTA TEREZINHA DO PROGRESSO,,SANTIAGO DO SUL,,,,,,SANTA TEREZINHA ,,,,,,,,
SAO JOAO DO OESTE,,SAO CARLOS,,,,,,TAIO ,,,,,,,,
SAO JOSE DO CEDRO,,SERRA ALTA,,,,,,TROMBUDO CENTRAL ,,,,,,,,
SAO MIGUEL DA BOA VISTA,,SUL BRASIL,,,,,,VIDAL RAMOS ,,,,,,,,
SAO MIGUEL DO OESTE,,UNIAO DO OESTE,,,,,,VITOR MEIRELES ,,,,,,,,
SAUDADES,,,,,,,,WITMARSUM ,,,,,,,,
TIGRINHOS,,,,,,,,,,,,,,,,
TUNAPOLIS,,,,,,,,,,,,,,,,
