Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/02/2024;000;;;;;;;;;;;;;;;;;0.0
01/02/2024;100;;;;;;;;;;;;;;;;;
01/02/2024;200;;;;;;;;;;;;;;;;;
01/02/2024;300;;;;;;;;;;;;;;;;;
01/02/2024;400;;;;;;;;;;;;;;;;;
01/02/2024;500;;;;;;;;;;;;;;;;;
01/02/2024;600;;;;;;;;;;;;;;;;;
01/02/2024;700;;;;;;;;;;;;;;;;;
01/02/2024;800;;;;;;;;;;;;;;;;;
01/02/2024;900;;;;;;;;;;;;;;;;;
01/02/2024;1000;;;;;;;;;;;;;;;;;
01/02/2024;1100;;;;;;;;;;;;;;;;;
01/02/2024;1200;;;;;;;;;;;;;;;;;
01/02/2024;1300;;;;;;;;;;;;;;;;;
01/02/2024;1400;;;;;;;;;;;;;;;;;
01/02/2024;1500;;;;;;;;;;;;;;;;;
01/02/2024;1600;;;;;;;;;;;;;;;;;
01/02/2024;1700;;;;;;;;;;;;;;;;;
01/02/2024;1800;;;;;;;;;;;;;;;;;
01/02/2024;1900;;;;;;;;;;;;;;;;;
01/02/2024;2000;;;;;;;;;;;;;;;;;
01/02/2024;2100;;;;;;;;;;;;;;;;;
01/02/2024;2200;;;;;;;;;;;;;;;;;
01/02/2024;2300;;;;;;;;;;;;;;;;;
02/02/2024;000;;;;;;;;;;;;;;;;;0.0
02/02/2024;100;;;;;;;;;;;;;;;;;
02/02/2024;200;;;;;;;;;;;;;;;;;
02/02/2024;300;;;;;;;;;;;;;;;;;
02/02/2024;400;;;;;;;;;;;;;;;;;
02/02/2024;500;;;;;;;;;;;;;;;;;
02/02/2024;600;;;;;;;;;;;;;;;;;
02/02/2024;700;;;;;;;;;;;;;;;;;
02/02/2024;800;;;;;;;;;;;;;;;;;
02/02/2024;900;;;;;;;;;;;;;;;;;
02/02/2024;1000;;;;;;;;;;;;;;;;;
02/02/2024;1100;;;;;;;;;;;;;;;;;
02/02/2024;1200;;;;;;;;;;;;;;;;;
02/02/2024;1300;;;;;;;;;;;;;;;;;
02/02/2024;1400;;;;;;;;;;;;;;;;;
02/02/2024;1500;;;;;;;;;;;;;;;;;
02/02/2024;1600;;;;;;;;;;;;;;;;;
02/02/2024;1700;;;;;;;;;;;;;;;;;
02/02/2024;1800;;;;;;;;;;;;;;;;;
02/02/2024;1900;;;;;;;;;;;;;;;;;
02/02/2024;2000;;;;;;;;;;;;;;;;;
02/02/2024;2100;;;;;;;;;;;;;;;;;
02/02/2024;2200;;;;;;;;;;;;;;;;;
02/02/2024;2300;;;;;;;;;;;;;;;;;
03/02/2024;000;;;;;;;;;;;;;;;;;0.0
03/02/2024;100;;;;;;;;;;;;;;;;;
03/02/2024;200;;;;;;;;;;;;;;;;;
03/02/2024;300;;;;;;;;;;;;;;;;;
03/02/2024;400;;;;;;;;;;;;;;;;;
03/02/2024;500;;;;;;;;;;;;;;;;;
03/02/2024;600;;;;;;;;;;;;;;;;;
03/02/2024;700;;;;;;;;;;;;;;;;;
03/02/2024;800;;;;;;;;;;;;;;;;;
03/02/2024;900;;;;;;;;;;;;;;;;;
03/02/2024;1000;;;;;;;;;;;;;;;;;
03/02/2024;1100;;;;;;;;;;;;;;;;;
03/02/2024;1200;;;;;;;;;;;;;;;;;
03/02/2024;1300;;;;;;;;;;;;;;;;;
03/02/2024;1400;;;;;;;;;;;;;;;;;
03/02/2024;1500;;;;;;;;;;;;;;;;;
03/02/2024;1600;;;;;;;;;;;;;;;;;
03/02/2024;1700;;;;;;;;;;;;;;;;;
03/02/2024;1800;;;;;;;;;;;;;;;;;
03/02/2024;1900;;;;;;;;;;;;;;;;;
03/02/2024;2000;;;;;;;;;;;;;;;;;
03/02/2024;2100;;;;;;;;;;;;;;;;;
03/02/2024;2200;;;;;;;;;;;;;;;;;
03/02/2024;2300;;;;;;;;;;;;;;;;;
04/02/2024;000;;;;;;;;;;;;;;;;;0.0
04/02/2024;100;;;;;;;;;;;;;;;;;
04/02/2024;200;;;;;;;;;;;;;;;;;
04/02/2024;300;;;;;;;;;;;;;;;;;
04/02/2024;400;;;;;;;;;;;;;;;;;
04/02/2024;500;;;;;;;;;;;;;;;;;
04/02/2024;600;;;;;;;;;;;;;;;;;
04/02/2024;700;;;;;;;;;;;;;;;;;
04/02/2024;800;;;;;;;;;;;;;;;;;
04/02/2024;900;;;;;;;;;;;;;;;;;
04/02/2024;1000;;;;;;;;;;;;;;;;;
04/02/2024;1100;;;;;;;;;;;;;;;;;
04/02/2024;1200;;;;;;;;;;;;;;;;;
04/02/2024;1300;;;;;;;;;;;;;;;;;
04/02/2024;1400;;;;;;;;;;;;;;;;;
04/02/2024;1500;;;;;;;;;;;;;;;;;
04/02/2024;1600;;;;;;;;;;;;;;;;;
04/02/2024;1700;;;;;;;;;;;;;;;;;
04/02/2024;1800;;;;;;;;;;;;;;;;;
04/02/2024;1900;;;;;;;;;;;;;;;;;
04/02/2024;2000;;;;;;;;;;;;;;;;;
04/02/2024;2100;;;;;;;;;;;;;;;;;
04/02/2024;2200;;;;;;;;;;;;;;;;;
04/02/2024;2300;;;;;;;;;;;;;;;;;
05/02/2024;000;;;;;;;;;;;;;;;;;0.0
05/02/2024;100;;;;;;;;;;;;;;;;;
05/02/2024;200;;;;;;;;;;;;;;;;;
05/02/2024;300;;;;;;;;;;;;;;;;;
05/02/2024;400;;;;;;;;;;;;;;;;;
05/02/2024;500;;;;;;;;;;;;;;;;;
05/02/2024;600;;;;;;;;;;;;;;;;;
05/02/2024;700;;;;;;;;;;;;;;;;;
05/02/2024;800;;;;;;;;;;;;;;;;;
05/02/2024;900;;;;;;;;;;;;;;;;;
05/02/2024;1000;;;;;;;;;;;;;;;;;
05/02/2024;1100;;;;;;;;;;;;;;;;;
05/02/2024;1200;;;;;;;;;;;;;;;;;
05/02/2024;1300;;;;;;;;;;;;;;;;;
05/02/2024;1400;;;;;;;;;;;;;;;;;
05/02/2024;1500;;;;;;;;;;;;;;;;;
05/02/2024;1600;;;;;;;;;;;;;;;;;
05/02/2024;1700;;;;;;;;;;;;;;;;;
05/02/2024;1800;;;;;;;;;;;;;;;;;
05/02/2024;1900;;;;;;;;;;;;;;;;;
05/02/2024;2000;;;;;;;;;;;;;;;;;
05/02/2024;2100;;;;;;;;;;;;;;;;;
05/02/2024;2200;;;;;;;;;;;;;;;;;
05/02/2024;2300;;;;;;;;;;;;;;;;;
06/02/2024;000;;;;;;;;;;;;;;;;;
06/02/2024;100;;;;;;;;;;;;;;;;;
06/02/2024;200;;;;;;;;;;;;;;;;;
06/02/2024;300;;;;;;;;;;;;;;;;;
06/02/2024;400;;;;;;;;;;;;;;;;;
06/02/2024;500;;;;;;;;;;;;;;;;;
06/02/2024;600;;;;;;;;;;;;;;;;;
06/02/2024;700;;;;;;;;;;;;;;;;;
06/02/2024;800;;;;;;;;;;;;;;;;;
06/02/2024;900;;;;;;;;;;;;;;;;;
06/02/2024;1000;;;;;;;;;;;;;;;;;
06/02/2024;1100;;;;;;;;;;;;;;;;;
06/02/2024;1200;;;;;;;;;;;;;;;;;
06/02/2024;1300;;;;;;;;;;;;;;;;;
06/02/2024;1400;;;;;;;;;;;;;;;;;
