rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,1009.82,1004.74,0.11333333333333334,35.1,20.5,26.59166666666667,24.3,20.2,21.891666666666666,0.0,77.89166666666667,99.0,50.0,117.625,17.7,2.4583333333333335
,1011.18,1005.76,0.028333333333333332,34.0,23.3,28.183333333333334,25.4,22.4,23.666666666666668,0.0,78.05416666666666,95.0,57.0,153.0,27.4,4.941666666666667
,1010.5,1006.1,-0.08541666666666668,36.0,24.8,29.183333333333334,25.9,23.1,24.383333333333336,0.0,77.125,95.0,54.0,143.875,14.5,3.845833333333333
,1008.47,1003.39,-0.19833333333333336,28.9,24.3,26.045833333333334,25.4,23.3,24.229166666666668,9.1,90.00416666666666,98.0,76.0,146.95833333333334,9.7,1.2625
,1007.79,1001.36,0.1691666666666667,34.6,23.8,26.375,25.7,21.7,23.604166666666668,7.1,85.91250000000001,98.0,58.0,166.0,25.7,4.058333333333334
,1014.56,1006.77,0.25458333333333333,27.6,20.7,23.254166666666666,22.7,17.1,20.233333333333334,20.4,84.02083333333333,98.0,61.0,171.95833333333334,22.5,5.341666666666666
,1015.92,1012.19,0.05666666666666667,28.4,19.8,23.058333333333334,19.9,16.6,18.0375,1.1,74.27083333333333,92.0,52.0,169.125,19.3,3.8375000000000004
,1017.27,1013.55,0.05708333333333334,29.7,19.7,23.379166666666666,19.9,15.2,17.8875,0.0,72.97916666666667,92.0,44.0,188.625,22.5,3.475
,1017.95,1014.56,-0.08541666666666668,26.9,18.9,22.233333333333334,20.8,15.6,18.979166666666668,3.1,82.27916666666667,93.0,63.0,173.375,19.3,2.716666666666667
,1014.56,1011.18,-0.11333333333333334,30.4,21.2,23.495833333333334,22.3,20.3,21.204166666666666,13.899999999999999,87.62083333333334,98.0,60.0,187.70833333333334,16.1,2.3333333333333335
,1012.19,1009.14,-0.0012500000000000035,30.1,21.0,24.241666666666664,23.4,20.7,21.53333333333333,1.8,85.76666666666667,99.0,62.0,161.625,16.1,1.7041666666666666
,1015.92,1010.16,0.14083333333333334,31.8,20.8,25.133333333333336,24.1,20.2,21.566666666666666,0.0,81.62916666666666,98.0,59.0,149.91666666666666,17.7,1.9083333333333332
