rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,1011.18,1004.74,0.07083333333333335,35.1,20.5,27.3875,25.4,20.2,22.77916666666667,0.0,77.97291666666666,99.0,50.0,135.3125,27.4,3.6999999999999997
,1017.95,1001.36,0.024047619047619047,36.0,18.9,24.78988095238095,25.9,15.2,21.050595238095237,40.8,80.94166666666668,98.0,44.0,165.70238095238096,25.7,3.5053571428571426
,1019.98,1007.45,-0.026726190476190473,35.6,20.3,25.94345238095238,26.2,19.5,22.31904761904762,15.7,81.5577380952381,99.0,54.0,139.9345238095238,20.9,3.0916666666666663
,1016.59,1006.43,0.03175,38.3,24.5,29.756666666666664,27.6,21.7,24.59416666666667,0.5,75.45333333333333,95.0,45.0,147.625,24.1,4.070833333333334
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,1012.87,1007.79,0.01670731707317074,35.1,17.9,25.03292682926829,24.9,17.1,20.776829268292683,5.1,78.85853658536585,97.0,48.0,114.70731707317073,19.3,2.5121951219512195
,1016.93,1010.16,-0.002440476190476193,36.0,20.9,27.298214285714288,26.8,19.2,23.329761904761906,11.4,80.05297619047619,96.0,50.0,123.60119047619048,24.1,2.831547619047619
,1014.56,1005.76,-0.007083333333333338,35.7,22.9,27.398809523809526,27.6,21.1,23.902380952380952,110.7,82.16785714285714,96.0,54.0,151.26190476190476,22.5,2.1422619047619045
,1017.27,1006.43,0.01529761904761905,34.6,20.0,25.18511904761905,27.0,17.6,22.28988095238095,151.70000000000002,84.75892857142857,97.0,57.0,225.0,33.8,2.0452380952380955
,1022.69,1007.45,0.05440476190476191,36.4,18.6,24.45714285714286,27.6,15.8,20.89345238095238,48.599999999999994,81.35059523809524,97.0,52.0,225.0,25.7,1.663095238095238
,1024.04,1005.08,-0.03232142857142858,31.6,18.2,22.883928571428573,22.6,16.3,19.503571428571426,33.3,82.24821428571428,96.0,42.0,225.0,19.3,0.7672619047619048
,,,,,,,,,,0.0,,,,,,
,1015.24,1010.84,-0.008192771084337351,30.4,19.9,23.468674698795184,23.1,18.6,20.246987951807228,20.9,82.66867469879519,94.0,62.0,173.43373493975903,20.9,0.6108433734939759
,1021.0,1006.43,0.040773809523809525,29.9,13.9,21.44702380952381,22.5,7.6,17.014880952380953,13.399999999999999,77.03095238095239,94.0,33.0,160.04761904761904,27.4,1.3166666666666667
